Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,2
2020-03-26,4
2020-03-27,4
2020-03-28,4
2020-03-29,4
2020-03-30,4
2020-03-31,4
2020-04-01,4
2020-04-02,6
2020-04-03,6
2020-04-04,7
2020-04-05,7
2020-04-06,11
2020-04-07,14
2020-04-08,14
2020-04-09,15
2020-04-10,15
2020-04-11,18
2020-04-12,18
2020-04-13,21
2020-04-14,23
2020-04-15,25
2020-04-16,30
2020-04-17,30
2020-04-18,30
2020-04-19,33
2020-04-20,36
2020-04-21,36
2020-04-22,40
2020-04-23,42
2020-04-24,43
2020-04-25,47
2020-04-26,50
2020-04-27,57
2020-04-28,58
2020-04-29,60
2020-04-30,64
2020-05-01,68
2020-05-02,72
2020-05-03,85
2020-05-04,90
2020-05-05,95
2020-05-06,104
2020-05-07,106
2020-05-08,109
2020-05-09,115
2020-05-10,120
2020-05-11,122
2020-05-12,127
2020-05-13,132
2020-05-14,136
2020-05-15,153
2020-05-16,168
2020-05-17,169
2020-05-18,173
2020-05-19,178
2020-05-20,187
2020-05-21,193
2020-05-22,205
2020-05-23,216
2020-05-24,218
2020-05-25,219
2020-05-26,220
2020-05-27,227
2020-05-28,235
2020-05-29,246
2020-05-30,249
2020-05-31,257
2020-06-01,265
2020-06-02,270
2020-06-03,294
2020-06-04,300
2020-06-05,309
2020-06-06,327
2020-06-07,357
2020-06-08,369
2020-06-09,384
2020-06-10,405
2020-06-11,426
2020-06-12,446
2020-06-13,451
2020-06-14,471
2020-06-15,478
2020-06-16,491
2020-06-17,504
2020-06-18,546
2020-06-19,548
2020-06-20,569
2020-06-21,581
