Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,4
2020-03-04,6
2020-03-05,6
2020-03-06,6
2020-03-07,6
2020-03-08,6
2020-03-09,6
2020-03-10,6
2020-03-11,6
2020-03-12,18
2020-03-13,24
2020-03-14,24
2020-03-15,24
2020-03-16,33
2020-03-17,33
2020-03-18,46
2020-03-19,46
2020-03-20,54
2020-03-21,61
2020-03-22,61
2020-03-23,59
2020-03-24,59
2020-03-25,57
2020-03-26,57
2020-03-27,62
2020-03-28,62
2020-03-29,62
2020-03-30,120
2020-03-31,104
2020-04-01,108
2020-04-02,247
2020-04-03,294
2020-04-04,382
2020-04-05,502
2020-04-06,634
2020-04-07,794
2020-04-08,976
2020-04-09,1331
2020-04-10,1793
2020-04-11,2031
2020-04-12,2349
2020-04-13,2687
2020-04-14,3045
2020-04-15,3489
2020-04-16,3961
2020-04-17,4395
2020-04-18,4392
2020-04-19,4238
2020-04-20,5699
2020-04-21,6091
2020-04-22,6454
2020-04-23,7024
2020-04-24,7590
2020-04-25,7950
2020-04-26,8696
