Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,1.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,0.0
2020-03-03,6.0
2020-03-04,4.0
2020-03-05,5.0
2020-03-06,2.0
2020-03-07,6.0
2020-03-08,8.0
2020-03-09,55.0
2020-03-10,172.0
2020-03-11,252.0
2020-03-12,160.0
2020-03-13,130.0
2020-03-14,32.0
2020-03-15,28.0
2020-03-16,50.0
2020-03-17,63.0
2020-03-18,80.0
2020-03-19,94.0
2020-03-20,104.0
2020-03-21,71.0
2020-03-22,69.0
2020-03-23,65.0
2020-03-24,131.0
2020-03-25,133.0
2020-03-26,153.0
2020-03-27,169.0
2020-03-28,155.0
2020-03-29,194.0
2020-03-30,182.0
2020-03-31,283.0
2020-04-01,247.0
2020-04-02,279.0
2020-04-03,371.0
2020-04-04,320.0
2020-04-05,292.0
2020-04-06,312.0
2020-04-07,390.0
2020-04-08,331.0
2020-04-09,233.0
2020-04-10,184.0
2020-04-11,177.0
2020-04-12,178.0
2020-04-13,144.0
2020-04-14,193.0
2020-04-15,170.0
2020-04-16,198.0
2020-04-17,194.0
2020-04-18,169.0
2020-04-19,142.0
2020-04-20,131.0
2020-04-21,180.0
2020-04-22,217.0
2020-04-23,161.0
2020-04-24,137.0
2020-04-25,235.0
2020-04-26,130.0
