Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,13.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,-12.0
2020-03-25,6.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,49.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,60.0
2020-04-05,18.0
2020-04-06,28.0
2020-04-07,29.0
2020-04-08,31.0
2020-04-09,62.0
2020-04-10,34.0
2020-04-11,57.0
2020-04-12,64.0
2020-04-13,48.0
2020-04-14,131.0
2020-04-15,50.0
2020-04-16,106.0
2020-04-17,92.0
2020-04-18,115.0
2020-04-19,59.0
2020-04-20,93.0
2020-04-21,164.0
2020-04-22,216.0
2020-04-23,227.0
2020-04-24,204.0
2020-04-25,182.0
2020-04-26,139.0
2020-04-27,201.0
2020-04-28,189.0
2020-04-29,370.0
2020-04-30,211.0
2020-05-01,255.0
2020-05-02,271.0
2020-05-03,183.0
2020-05-04,150.0
2020-05-05,185.0
2020-05-06,375.0
2020-05-07,207.0
2020-05-08,322.0
2020-05-09,253.0
2020-05-10,261.0
2020-05-11,118.0
2020-05-12,315.0
2020-05-13,279.0
2020-05-14,286.0
2020-05-15,222.0
2020-05-16,257.0
2020-05-17,276.0
2020-05-18,177.0
2020-05-19,275.0
2020-05-20,280.0
2020-05-21,269.0
2020-05-22,279.0
2020-05-23,246.0
2020-05-24,217.0
2020-05-25,82.0
2020-05-26,744.0
2020-05-27,310.0
2020-05-28,230.0
2020-05-29,132.0
