Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,4
2020-03-24,5
2020-03-25,7
2020-03-26,7
2020-03-27,7
2020-03-28,7
2020-03-29,11
2020-03-30,11
2020-03-31,13
2020-04-01,21
2020-04-02,27
2020-04-03,27
2020-04-04,33
2020-04-05,37
2020-04-06,37
2020-04-07,38
2020-04-08,38
2020-04-09,38
2020-04-10,38
2020-04-11,46
2020-04-12,46
2020-04-13,47
2020-04-14,47
2020-04-15,53
2020-04-16,53
2020-04-17,53
2020-04-18,53
2020-04-19,53
2020-04-20,58
2020-04-21,58
2020-04-22,58
2020-04-23,58
2020-04-24,61
2020-04-25,61
2020-04-26,61
2020-04-27,61
2020-04-28,59
2020-04-29,62
2020-04-30,62
2020-05-01,63
2020-05-02,63
2020-05-03,63
2020-05-04,60
2020-05-05,60
2020-05-06,47
2020-05-07,44
2020-05-08,39
2020-05-09,39
2020-05-10,39
2020-05-11,36
2020-05-12,34
2020-05-13,31
2020-05-14,38
2020-05-15,38
2020-05-16,38
2020-05-17,38
2020-05-18,38
2020-05-19,55
2020-05-20,55
2020-05-21,65
2020-05-22,67
