Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,3
2020-03-20,3
2020-03-21,3
2020-03-22,3
2020-03-23,5
2020-03-24,6
2020-03-25,8
2020-03-26,8
2020-03-27,8
2020-03-28,8
2020-03-29,12
2020-03-30,12
2020-03-31,14
2020-04-01,22
2020-04-02,28
2020-04-03,29
2020-04-04,35
2020-04-05,39
2020-04-06,39
2020-04-07,45
2020-04-08,45
2020-04-09,45
2020-04-10,45
2020-04-11,53
2020-04-12,53
2020-04-13,54
2020-04-14,54
2020-04-15,60
2020-04-16,60
2020-04-17,61
2020-04-18,61
2020-04-19,61
2020-04-20,66
2020-04-21,66
2020-04-22,66
2020-04-23,66
2020-04-24,70
2020-04-25,70
2020-04-26,70
2020-04-27,70
2020-04-28,70
2020-04-29,73
2020-04-30,73
2020-05-01,74
2020-05-02,74
2020-05-03,74
2020-05-04,75
2020-05-05,75
2020-05-06,78
2020-05-07,80
2020-05-08,81
2020-05-09,81
2020-05-10,81
2020-05-11,84
2020-05-12,85
2020-05-13,86
