Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,1.0
2020-03-01,0.0
2020-03-02,5.0
2020-03-03,3.0
2020-03-04,2.0
2020-03-05,1.0
2020-03-06,3.0
2020-03-07,4.0
2020-03-08,3.0
2020-03-09,4.0
2020-03-10,4.0
2020-03-11,8.0
2020-03-12,3.0
2020-03-13,7.0
2020-03-14,10.0
2020-03-15,15.0
2020-03-16,22.0
2020-03-17,26.0
2020-03-18,50.0
2020-03-19,68.0
2020-03-20,70.0
2020-03-21,65.0
2020-03-22,135.0
2020-03-23,180.0
2020-03-24,268.0
2020-03-25,304.0
2020-03-26,355.0
2020-03-27,497.0
2020-03-28,645.0
2020-03-29,498.0
2020-03-30,817.0
2020-03-31,1088.0
2020-04-01,1246.0
2020-04-02,1185.0
2020-04-03,1266.0
2020-04-04,1548.0
2020-04-05,1412.0
2020-04-06,1510.0
2020-04-07,2233.0
2020-04-08,2170.0
2020-04-09,2116.0
2020-04-10,2245.0
2020-04-11,2029.0
2020-04-12,1731.0
2020-04-13,1731.0
2020-04-14,2573.0
2020-04-15,2638.0
2020-04-16,2200.0
2020-04-17,2549.0
2020-04-18,1886.0
2020-04-19,1574.0
2020-04-20,1955.0
2020-04-21,2693.0
2020-04-22,2363.0
2020-04-23,2347.0
2020-04-24,1962.0
2020-04-25,2073.0
2020-04-26,1158.0
2020-04-27,1387.0
2020-04-28,2477.0
2020-04-29,2394.0
2020-04-30,2206.0
2020-05-01,1900.0
2020-05-02,1698.0
2020-05-03,1154.0
2020-05-04,1328.0
2020-05-05,2352.0
2020-05-06,2531.0
2020-05-07,2133.0
2020-05-08,1689.0
2020-05-09,1429.0
2020-05-10,751.0
2020-05-11,1061.0
2020-05-12,1876.0
2020-05-13,1824.0
2020-05-14,1756.0
2020-05-15,1604.0
2020-05-16,1220.0
2020-05-17,865.0
2020-05-18,1004.0
2020-05-19,1557.0
2020-05-20,1405.0
2020-05-21,1414.0
2020-05-22,1299.0
2020-05-23,1036.0
2020-05-24,615.0
2020-05-25,506.0
2020-05-26,775.0
2020-05-27,1538.0
2020-05-28,1225.0
2020-05-29,1213.0
2020-05-30,1017.0
2020-05-31,639.0
2020-06-01,731.0
2020-06-02,1136.0
2020-06-03,1084.0
2020-06-04,1032.0
2020-06-05,975.0
2020-06-06,706.0
2020-06-07,373.0
2020-06-08,586.0
2020-06-09,1093.0
2020-06-10,982.0
2020-06-11,904.0
2020-06-12,791.0
2020-06-13,702.0
2020-06-14,331.0
2020-06-15,425.0
2020-06-16,849.0
2020-06-17,809.0
2020-06-18,747.0
2020-06-19,719.0
2020-06-20,573.0
2020-06-21,267.0
