Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,2
2020-03-29,3
2020-03-30,5
2020-03-31,6
2020-04-01,8
2020-04-02,8
2020-04-03,9
2020-04-04,10
2020-04-05,10
2020-04-06,11
2020-04-07,12
2020-04-08,12
2020-04-09,14
2020-04-10,16
2020-04-11,20
2020-04-12,22
2020-04-13,25
2020-04-14,28
2020-04-15,33
2020-04-16,35
2020-04-17,37
2020-04-18,37
2020-04-19,41
2020-04-20,43
2020-04-21,46
2020-04-22,52
2020-04-23,56
2020-04-24,64
2020-04-25,71
2020-04-26,76
2020-04-27,82
2020-04-28,89
2020-04-29,98
2020-04-30,105
2020-05-01,111
2020-05-02,119
2020-05-03,126
2020-05-04,137
2020-05-05,146
2020-05-06,157
2020-05-07,165
2020-05-08,174
2020-05-09,185
2020-05-10,198
2020-05-11,201
2020-05-12,203
2020-05-13,206
2020-05-14,208
2020-05-15,210
2020-05-16,214
2020-05-17,220
2020-05-18,224
2020-05-19,227
2020-05-20,233
2020-05-21,237
2020-05-22,241
