Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,2.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,5.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,5.0
2020-03-22,0.0
2020-03-23,11.0
2020-03-24,48.0
2020-03-25,7.0
2020-03-26,16.0
2020-03-27,5.0
2020-03-28,0.0
2020-03-29,64.0
2020-03-30,3.0
2020-03-31,11.0
2020-04-01,11.0
2020-04-02,4.0
2020-04-03,24.0
2020-04-04,27.0
2020-04-05,16.0
2020-04-06,62.0
2020-04-07,26.0
2020-04-08,35.0
2020-04-09,60.0
2020-04-10,36.0
2020-04-11,53.0
2020-04-12,41.0
2020-04-13,52.0
2020-04-14,12.0
2020-04-15,16.0
2020-04-16,0.0
2020-04-17,34.0
2020-04-18,113.0
2020-04-19,46.0
2020-04-20,32.0
2020-04-21,37.0
2020-04-22,36.0
2020-04-23,52.0
2020-04-24,73.0
2020-04-25,0.0
2020-04-26,73.0
2020-04-27,14.0
2020-04-28,19.0
2020-04-29,55.0
2020-04-30,37.0
2020-05-01,58.0
2020-05-02,29.0
2020-05-03,36.0
2020-05-04,34.0
2020-05-05,32.0
2020-05-06,52.0
2020-05-07,55.0
2020-05-08,31.0
2020-05-09,65.0
2020-05-10,33.0
2020-05-11,30.0
2020-05-12,127.0
2020-05-13,55.0
2020-05-14,59.0
2020-05-15,46.0
2020-05-16,44.0
2020-05-17,48.0
2020-05-18,10.0
2020-05-19,34.0
2020-05-20,78.0
2020-05-21,70.0
2020-05-22,40.0
2020-05-23,25.0
2020-05-24,10.0
2020-05-25,47.0
2020-05-26,54.0
2020-05-27,79.0
2020-05-28,85.0
2020-05-29,109.0
2020-05-30,49.0
2020-05-31,34.0
2020-06-01,118.0
2020-06-02,73.0
2020-06-03,86.0
2020-06-04,152.0
2020-06-05,169.0
2020-06-06,126.0
2020-06-07,182.0
2020-06-08,142.0
2020-06-09,114.0
2020-06-10,186.0
2020-06-11,223.0
2020-06-12,280.0
2020-06-13,164.0
2020-06-14,236.0
2020-06-15,355.0
2020-06-16,240.0
2020-06-17,384.0
2020-06-18,381.0
2020-06-19,430.0
2020-06-20,402.0
2020-06-21,216.0
2020-06-22,185.0
2020-06-23,227.0
2020-06-24,260.0
2020-06-25,170.0
2020-06-26,405.0
2020-06-27,205.0
