Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,0.0
2020-03-12,3.0
2020-03-13,0.0
2020-03-14,6.0
2020-03-15,11.0
2020-03-16,6.0
2020-03-17,1.0
2020-03-18,6.0
2020-03-19,13.0
2020-03-20,17.0
2020-03-21,14.0
2020-03-22,14.0
2020-03-23,15.0
2020-03-24,16.0
2020-03-25,24.0
2020-03-26,28.0
2020-03-27,22.0
2020-03-28,32.0
2020-03-29,32.0
2020-03-30,35.0
2020-03-31,55.0
2020-04-01,70.0
2020-04-02,82.0
2020-04-03,86.0
2020-04-04,161.0
2020-04-05,112.0
2020-04-06,101.0
2020-04-07,91.0
2020-04-08,118.0
2020-04-09,115.0
2020-04-10,149.0
2020-04-11,122.0
2020-04-12,102.0
2020-04-13,50.0
2020-04-14,222.0
2020-04-15,115.0
2020-04-16,105.0
2020-04-17,110.0
2020-04-18,87.0
2020-04-19,121.0
2020-04-20,76.0
2020-04-21,66.0
2020-04-22,164.0
2020-04-23,148.0
2020-04-24,184.0
2020-04-25,194.0
2020-04-26,104.0
2020-04-27,73.0
2020-04-28,157.0
2020-04-29,133.0
2020-04-30,126.0
2020-05-01,83.0
2020-05-02,72.0
2020-05-03,69.0
2020-05-04,127.0
2020-05-05,115.0
2020-05-06,113.0
2020-05-07,129.0
2020-05-08,123.0
2020-05-09,139.0
2020-05-10,60.0
2020-05-11,68.0
2020-05-12,159.0
2020-05-13,252.0
2020-05-14,147.0
2020-05-15,192.0
2020-05-16,189.0
2020-05-17,126.0
2020-05-18,78.0
2020-05-19,202.0
2020-05-20,213.0
2020-05-21,151.0
2020-05-22,143.0
2020-05-23,147.0
2020-05-24,99.0
2020-05-25,54.0
2020-05-26,158.0
2020-05-27,232.0
2020-05-28,188.0
2020-05-29,171.0
2020-05-30,202.0
2020-05-31,153.0
2020-06-01,109.0
2020-06-02,188.0
2020-06-03,247.0
2020-06-04,223.0
2020-06-05,229.0
2020-06-06,264.0
2020-06-07,189.0
2020-06-08,107.0
2020-06-09,218.0
2020-06-10,296.0
2020-06-11,406.0
2020-06-12,366.0
2020-06-13,366.0
2020-06-14,281.0
2020-06-15,139.0
2020-06-16,375.0
2020-06-17,478.0
2020-06-18,374.0
2020-06-19,450.0
2020-06-20,397.0
2020-06-21,247.0
