Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,2
2020-03-19,4
2020-03-20,5
2020-03-21,8
2020-03-22,8
2020-03-23,8
2020-03-24,8
2020-03-25,8
2020-03-26,9
2020-03-27,15
2020-03-28,18
2020-03-29,21
2020-03-30,22
2020-03-31,23
2020-04-01,29
2020-04-02,30
2020-04-03,31
2020-04-04,31
2020-04-05,36
2020-04-06,41
2020-04-07,44
2020-04-08,46
2020-04-09,52
2020-04-10,54
2020-04-11,62
2020-04-12,66
2020-04-13,69
2020-04-14,67
2020-04-15,69
2020-04-16,69
2020-04-17,72
2020-04-18,72
2020-04-19,73
2020-04-20,75
2020-04-21,78
2020-04-22,80
2020-04-23,83
2020-04-24,85
2020-04-25,85
2020-04-26,88
