Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,2
2020-03-09,6
2020-03-10,10
2020-03-11,15
2020-03-12,23
2020-03-13,33
2020-03-14,38
2020-03-15,42
2020-03-16,51
2020-03-17,55
2020-03-18,59
2020-03-19,64
2020-03-20,70
2020-03-21,76
2020-03-22,89
2020-03-23,104
2020-03-24,123
2020-03-25,146
2020-03-26,174
2020-03-27,186
2020-03-28,197
2020-03-29,212
2020-03-30,223
2020-03-31,243
2020-04-01,259
2020-04-02,277
2020-04-03,304
2020-04-04,333
2020-04-05,361
2020-04-06,377
2020-04-07,383
2020-04-08,400
2020-04-09,409
2020-04-10,416
2020-04-11,433
2020-04-12,446
2020-04-13,467
2020-04-14,475
2020-04-15,494
2020-04-16,518
2020-04-17,539
2020-04-18,548
2020-04-19,562
2020-04-20,584
2020-04-21,609
2020-04-22,634
2020-04-23,663
2020-04-24,678
2020-04-25,712
2020-04-26,726
2020-04-27,736
2020-04-28,750
2020-04-29,766
2020-04-30,773
2020-05-01,782
2020-05-02,789
2020-05-03,795
2020-05-04,803
2020-05-05,820
2020-05-06,832
2020-05-07,842
2020-05-08,850
2020-05-09,856
