Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,2.0
2020-03-17,1.0
2020-03-18,0.0
2020-03-19,2.0
2020-03-20,0.0
2020-03-21,2.0
2020-03-22,8.0
2020-03-23,5.0
2020-03-24,7.0
2020-03-25,3.0
2020-03-26,18.0
2020-03-27,9.0
2020-03-28,10.0
2020-03-29,18.0
2020-03-30,22.0
2020-03-31,20.0
2020-04-01,18.0
2020-04-02,12.0
2020-04-03,10.0
2020-04-04,18.0
2020-04-05,18.0
2020-04-06,16.0
2020-04-07,23.0
2020-04-08,30.0
2020-04-09,22.0
2020-04-10,24.0
2020-04-11,18.0
2020-04-12,13.0
2020-04-13,18.0
2020-04-14,16.0
2020-04-15,9.0
2020-04-16,17.0
2020-04-17,21.0
2020-04-18,12.0
2020-04-19,9.0
2020-04-20,18.0
2020-04-21,21.0
2020-04-22,19.0
2020-04-23,12.0
2020-04-24,8.0
2020-04-25,6.0
2020-04-26,6.0
2020-04-27,7.0
2020-04-28,20.0
2020-04-29,11.0
2020-04-30,4.0
2020-05-01,5.0
2020-05-02,7.0
2020-05-03,2.0
2020-05-04,2.0
2020-05-05,6.0
2020-05-06,2.0
2020-05-07,1.0
2020-05-08,5.0
2020-05-09,1.0
2020-05-10,3.0
2020-05-11,2.0
2020-05-12,3.0
2020-05-13,1.0
2020-05-14,2.0
2020-05-15,2.0
2020-05-16,1.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,3.0
2020-05-20,1.0
2020-05-21,0.0
2020-05-22,2.0
2020-05-23,4.0
2020-05-24,1.0
2020-05-25,1.0
2020-05-26,2.0
2020-05-27,2.0
2020-05-28,23.0
2020-05-29,0.0
