Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,1.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,4.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,6.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,2.0
2020-03-12,2.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,16.0
2020-03-19,3.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,42.0
2020-03-23,30.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,52.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,74.0
2020-03-30,0.0
2020-03-31,101.0
2020-04-01,0.0
2020-04-02,240.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,495.0
2020-04-06,1352.0
2020-04-07,115.0
2020-04-08,266.0
2020-04-09,174.0
2020-04-10,154.0
2020-04-11,124.0
2020-04-12,73.0
2020-04-13,156.0
2020-04-14,104.0
2020-04-15,88.0
2020-04-16,61.0
2020-04-17,74.0
2020-04-18,346.0
2020-04-19,63.0
2020-04-20,28.0
2020-04-21,427.0
2020-04-22,235.0
2020-04-23,125.0
2020-04-24,91.0
2020-04-25,236.0
2020-04-26,188.0
2020-04-27,26.0
2020-04-28,40.0
2020-04-29,41.0
2020-04-30,48.0
2020-05-01,30.0
2020-05-02,44.0
2020-05-03,28.0
2020-05-04,42.0
2020-05-05,30.0
2020-05-06,95.0
2020-05-07,56.0
2020-05-08,39.0
2020-05-09,56.0
2020-05-10,28.0
2020-05-11,16.0
2020-05-12,50.0
2020-05-13,42.0
