Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,2.0
2020-02-21,2.0
2020-02-22,2.0
2020-02-23,1.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,2.0
2020-02-29,0.0
2020-03-01,4.0
2020-03-02,4.0
2020-03-03,6.0
2020-03-04,14.0
2020-03-05,7.0
2020-03-06,3.0
2020-03-07,11.0
2020-03-08,9.0
2020-03-09,10.0
2020-03-10,23.0
2020-03-11,12.0
2020-03-12,28.0
2020-03-13,43.0
2020-03-14,49.0
2020-03-15,52.0
2020-03-16,101.0
2020-03-17,54.0
2020-03-18,141.0
2020-03-19,160.0
2020-03-20,172.0
2020-03-21,144.0
2020-03-22,537.0
2020-03-23,278.0
2020-03-24,430.0
2020-03-25,359.0
2020-03-26,374.0
2020-03-27,328.0
2020-03-28,257.0
2020-03-29,528.0
2020-03-30,297.0
2020-03-31,303.0
2020-04-01,285.0
2020-04-02,266.0
2020-04-03,140.0
2020-04-04,96.0
2020-04-05,200.0
2020-04-06,145.0
2020-04-07,93.0
2020-04-08,64.0
2020-04-09,100.0
2020-04-10,86.0
2020-04-11,65.0
2020-04-12,10.0
2020-04-13,46.0
2020-04-14,41.0
2020-04-15,47.0
2020-04-16,21.0
2020-04-17,65.0
2020-04-18,53.0
2020-04-19,26.0
2020-04-20,13.0
2020-04-21,20.0
2020-04-22,4.0
2020-04-23,18.0
2020-04-24,8.0
2020-04-25,20.0
2020-04-26,21.0
2020-04-27,4.0
2020-04-28,18.0
2020-04-29,8.0
2020-04-30,8.0
2020-05-01,13.0
2020-05-02,14.0
2020-05-03,20.0
2020-05-04,24.0
2020-05-05,24.0
2020-05-06,26.0
2020-05-07,21.0
2020-05-08,18.0
2020-05-09,15.0
2020-05-10,12.0
2020-05-11,7.0
2020-05-12,16.0
2020-05-13,16.0
2020-05-14,9.0
2020-05-15,30.0
2020-05-16,17.0
2020-05-17,9.0
2020-05-18,15.0
2020-05-19,8.0
2020-05-20,11.0
2020-05-21,2.0
2020-05-22,14.0
2020-05-23,16.0
2020-05-24,3.0
2020-05-25,4.0
2020-05-26,15.0
2020-05-27,6.0
2020-05-28,11.0
2020-05-29,23.0
2020-05-30,12.0
2020-05-31,10.0
2020-06-01,9.0
2020-06-02,17.0
2020-06-03,8.0
2020-06-04,11.0
2020-06-05,11.0
2020-06-06,4.0
2020-06-07,5.0
2020-06-08,5.0
2020-06-09,2.0
2020-06-10,9.0
2020-06-11,9.0
2020-06-12,5.0
2020-06-13,12.0
2020-06-14,18.0
2020-06-15,15.0
2020-06-16,12.0
2020-06-17,23.0
2020-06-18,21.0
2020-06-19,18.0
2020-06-20,27.0
2020-06-21,25.0
2020-06-22,13.0
2020-06-23,18.0
2020-06-24,29.0
2020-06-25,37.0
2020-06-26,37.0
2020-06-27,46.0
