Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,7.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,0.0
2020-03-19,3.0
2020-03-20,1.0
2020-03-21,3.0
2020-03-22,5.0
2020-03-23,3.0
2020-03-24,2.0
2020-03-25,3.0
2020-03-26,29.0
2020-03-27,0.0
2020-03-28,13.0
2020-03-29,7.0
2020-03-30,16.0
2020-03-31,10.0
2020-04-01,8.0
2020-04-02,8.0
2020-04-03,9.0
2020-04-04,7.0
2020-04-05,18.0
2020-04-06,26.0
2020-04-07,11.0
2020-04-08,16.0
2020-04-09,54.0
2020-04-10,4.0
2020-04-11,7.0
2020-04-12,25.0
2020-04-13,30.0
2020-04-14,24.0
2020-04-15,43.0
2020-04-16,44.0
2020-04-17,24.0
2020-04-18,28.0
2020-04-19,27.0
2020-04-20,44.0
2020-04-21,34.0
2020-04-22,11.0
2020-04-23,63.0
2020-04-24,31.0
2020-04-25,104.0
2020-04-26,59.0
2020-04-27,84.0
2020-04-28,64.0
2020-04-29,39.0
2020-04-30,57.0
2020-05-01,57.0
2020-05-02,62.0
2020-05-03,241.0
2020-05-04,124.0
2020-05-05,87.0
2020-05-06,121.0
2020-05-07,84.0
2020-05-08,195.0
2020-05-09,185.0
