Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,2.0
2020-03-02,2.0
2020-03-03,3.0
2020-03-04,9.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,2.0
2020-03-08,1.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,6.0
2020-03-13,0.0
2020-03-14,13.0
2020-03-15,15.0
2020-03-16,6.0
2020-03-17,1.0
2020-03-18,14.0
2020-03-19,15.0
2020-03-20,4.0
2020-03-21,45.0
2020-03-22,62.0
2020-03-23,29.0
2020-03-24,34.0
2020-03-25,38.0
2020-03-26,65.0
2020-03-27,42.0
2020-03-28,45.0
2020-03-29,57.0
2020-03-30,73.0
2020-03-31,132.0
2020-04-01,131.0
2020-04-02,139.0
2020-04-03,185.0
2020-04-04,80.0
2020-04-05,69.0
2020-04-06,103.0
2020-04-07,45.0
2020-04-08,104.0
2020-04-09,94.0
2020-04-10,95.0
2020-04-11,64.0
2020-04-12,89.0
2020-04-13,69.0
2020-04-14,87.0
2020-04-15,90.0
2020-04-16,108.0
2020-04-17,150.0
2020-04-18,116.0
2020-04-19,95.0
2020-04-20,89.0
2020-04-21,93.0
2020-04-22,99.0
2020-04-23,97.0
2020-04-24,120.0
2020-04-25,129.0
2020-04-26,126.0
2020-04-27,135.0
2020-04-28,132.0
2020-04-29,199.0
2020-04-30,158.0
2020-05-01,148.0
2020-05-02,141.0
2020-05-03,179.0
2020-05-04,174.0
2020-05-05,190.0
2020-05-06,159.0
2020-05-07,185.0
2020-05-08,187.0
2020-05-09,189.0
