Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,4
2020-03-23,4
2020-03-24,4
2020-03-25,4
2020-03-26,6
2020-03-27,9
2020-03-28,9
2020-03-29,9
2020-03-30,9
2020-03-31,9
2020-04-01,9
2020-04-02,9
2020-04-03,9
2020-04-04,9
2020-04-05,9
2020-04-06,10
2020-04-07,10
2020-04-08,12
2020-04-09,12
2020-04-10,12
2020-04-11,12
2020-04-12,14
2020-04-13,15
2020-04-14,15
2020-04-15,15
2020-04-16,16
2020-04-17,16
2020-04-18,22
2020-04-19,22
2020-04-20,24
2020-04-21,31
2020-04-22,31
2020-04-23,31
2020-04-24,36
2020-04-25,56
2020-04-26,59
2020-04-27,65
2020-04-28,71
2020-04-29,91
2020-04-30,100
2020-05-01,106
2020-05-02,108
2020-05-03,112
2020-05-04,116
2020-05-05,119
2020-05-06,123
2020-05-07,153
2020-05-08,159
2020-05-09,163
2020-05-10,172
2020-05-11,175
2020-05-12,184
2020-05-13,187
2020-05-14,187
2020-05-15,190
2020-05-16,202
2020-05-17,203
2020-05-18,205
2020-05-19,208
2020-05-20,217
2020-05-21,220
2020-05-22,225
2020-05-23,238
2020-05-24,250
2020-05-25,256
2020-05-26,261
2020-05-27,272
2020-05-28,279
2020-05-29,279
2020-05-30,283
2020-05-31,285
2020-06-01,293
2020-06-02,294
2020-06-03,295
2020-06-04,300
2020-06-05,305
2020-06-06,322
2020-06-07,333
2020-06-08,340
2020-06-09,371
2020-06-10,398
2020-06-11,449
2020-06-12,472
2020-06-13,486
2020-06-14,490
2020-06-15,506
2020-06-16,520
2020-06-17,563
2020-06-18,586
2020-06-19,623
2020-06-20,627
2020-06-21,635
