Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,2.0
2020-03-15,3.0
2020-03-16,1.0
2020-03-17,23.0
2020-03-18,3.0
2020-03-19,8.0
2020-03-20,8.0
2020-03-21,2.0
2020-03-22,6.0
2020-03-23,2.0
2020-03-24,10.0
2020-03-25,9.0
2020-03-26,32.0
2020-03-27,37.0
2020-03-28,78.0
2020-03-29,56.0
2020-03-30,18.0
2020-03-31,41.0
2020-04-01,37.0
2020-04-02,55.0
2020-04-03,29.0
2020-04-04,67.0
2020-04-05,53.0
2020-04-06,78.0
2020-04-07,35.0
2020-04-08,30.0
2020-04-09,54.0
2020-04-10,31.0
2020-04-11,53.0
2020-04-12,86.0
2020-04-13,140.0
2020-04-14,141.0
2020-04-15,63.0
2020-04-16,107.0
2020-04-17,144.0
2020-04-18,69.0
2020-04-19,61.0
2020-04-20,176.0
2020-04-21,143.0
2020-04-22,140.0
2020-04-23,154.0
2020-04-24,127.0
2020-04-25,185.0
2020-04-26,116.0
