Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,3
2020-03-12,3
2020-03-13,3
2020-03-14,4
2020-03-15,4
2020-03-16,10
2020-03-17,10
2020-03-18,14
2020-03-19,21
2020-03-20,37
2020-03-21,67
2020-03-22,75
2020-03-23,88
2020-03-24,122
2020-03-25,178
2020-03-26,220
2020-03-27,289
2020-03-28,353
2020-03-29,431
2020-03-30,513
2020-03-31,705
2020-04-01,828
2020-04-02,1011
2020-04-03,1143
2020-04-04,1283
2020-04-05,1447
2020-04-06,1632
2020-04-07,2035
2020-04-08,2240
2020-04-09,2523
2020-04-10,3019
2020-04-11,3346
2020-04-12,3600
2020-04-13,3903
2020-04-14,4157
2020-04-15,4440
2020-04-16,4857
2020-04-17,5163
2020-04-18,5453
2020-04-19,5683
2020-04-20,5828
2020-04-21,5998
2020-04-22,6262
2020-04-23,6490
2020-04-24,6679
2020-04-25,6917
2020-04-26,7094
2020-04-27,7207
2020-04-28,7331
2020-04-29,7501
2020-04-30,7594
2020-05-01,7703
2020-05-02,7765
2020-05-03,7844
2020-05-04,7924
2020-05-05,8016
2020-05-06,8339
2020-05-07,8415
2020-05-08,8521
2020-05-09,8581
2020-05-10,8656
2020-05-11,8707
2020-05-12,8761
2020-05-13,8843
